EKF: 
[LASER] Initializing x: 
0.312243
 0.58034
     5.5
     0.5
>> Accuracy | rmse_px -> 0.062558   | rmse_py -> 0.0934871  | rmse_vx -> 0.397271   | rmse_vy -> 0.469588  
>> Accuracy | rmse_px -> 0.0621967  | rmse_py -> 0.0932125  | rmse_vx -> 0.395034   | rmse_vy -> 0.469323  
>> Accuracy | rmse_px -> 0.0618659  | rmse_py -> 0.0926374  | rmse_vx -> 0.393429   | rmse_vy -> 0.470917  
>> Accuracy | rmse_px -> 0.0617085  | rmse_py -> 0.0920578  | rmse_vx -> 0.393269   | rmse_vy -> 0.47277   
>> Accuracy | rmse_px -> 0.0626403  | rmse_py -> 0.0916937  | rmse_vx -> 0.396002   | rmse_vy -> 0.476589  
>> Accuracy | rmse_px -> 0.0630684  | rmse_py -> 0.0919174  | rmse_vx -> 0.395478   | rmse_vy -> 0.483733  
>> Accuracy | rmse_px -> 0.0628984  | rmse_py -> 0.0913624  | rmse_vx -> 0.39428    | rmse_vy -> 0.484393  
>> Accuracy | rmse_px -> 0.0628886  | rmse_py -> 0.0909056  | rmse_vx -> 0.393931   | rmse_vy -> 0.486085  
>> Accuracy | rmse_px -> 0.0625711  | rmse_py -> 0.0903717  | rmse_vx -> 0.393287   | rmse_vy -> 0.486056  
>> Accuracy | rmse_px -> 0.062265   | rmse_py -> 0.089934   | rmse_vx -> 0.393475   | rmse_vy -> 0.486707  
>> Accuracy | rmse_px -> 0.061947   | rmse_py -> 0.0901093  | rmse_vx -> 0.394583   | rmse_vy -> 0.489255  
>> Accuracy | rmse_px -> 0.0616865  | rmse_py -> 0.0911214  | rmse_vx -> 0.395252   | rmse_vy -> 0.493998  
>> Accuracy | rmse_px -> 0.0622575  | rmse_py -> 0.0926572  | rmse_vx -> 0.398891   | rmse_vy -> 0.498872  
>> Accuracy | rmse_px -> 0.0629061  | rmse_py -> 0.0951216  | rmse_vx -> 0.400831   | rmse_vy -> 0.505438  
>> Accuracy | rmse_px -> 0.0644264  | rmse_py -> 0.0965687  | rmse_vx -> 0.404452   | rmse_vy -> 0.50859   
>> Accuracy | rmse_px -> 0.0656612  | rmse_py -> 0.099103   | rmse_vx -> 0.405394   | rmse_vy -> 0.514141  
>> Accuracy | rmse_px -> 0.066974   | rmse_py -> 0.100385   | rmse_vx -> 0.406854   | rmse_vy -> 0.516002  
>> Accuracy | rmse_px -> 0.0683552  | rmse_py -> 0.101473   | rmse_vx -> 0.409269   | rmse_vy -> 0.516613  
>> Accuracy | rmse_px -> 0.0693622  | rmse_py -> 0.101397   | rmse_vx -> 0.411386   | rmse_vy -> 0.514832  
>> Accuracy | rmse_px -> 0.0699936  | rmse_py -> 0.101699   | rmse_vx -> 0.411199   | rmse_vy -> 0.514338  
>> Accuracy | rmse_px -> 0.0707402  | rmse_py -> 0.101319   | rmse_vx -> 0.411587   | rmse_vy -> 0.512242  
>> Accuracy | rmse_px -> 0.0713704  | rmse_py -> 0.100887   | rmse_vx -> 0.411868   | rmse_vy -> 0.510075  
>> Accuracy | rmse_px -> 0.0721212  | rmse_py -> 0.100415   | rmse_vx -> 0.413093   | rmse_vy -> 0.50774   
>> Accuracy | rmse_px -> 0.0720916  | rmse_py -> 0.100104   | rmse_vx -> 0.411247   | rmse_vy -> 0.50681   
>> Accuracy | rmse_px -> 0.0727061  | rmse_py -> 0.099701   | rmse_vx -> 0.410497   | rmse_vy -> 0.505344  
>> Accuracy | rmse_px -> 0.0735439  | rmse_py -> 0.0993629  | rmse_vx -> 0.411848   | rmse_vy -> 0.503522  
>> Accuracy | rmse_px -> 0.0740162  | rmse_py -> 0.09892    | rmse_vx -> 0.412942   | rmse_vy -> 0.501072  
>> Accuracy | rmse_px -> 0.0741245  | rmse_py -> 0.0984521  | rmse_vx -> 0.41158    | rmse_vy -> 0.499425  
>> Accuracy | rmse_px -> 0.0746753  | rmse_py -> 0.0979822  | rmse_vx -> 0.41136    | rmse_vy -> 0.497489  
>> Accuracy | rmse_px -> 0.0755129  | rmse_py -> 0.097605   | rmse_vx -> 0.411197   | rmse_vy -> 0.496389  
>> Accuracy | rmse_px -> 0.0761069  | rmse_py -> 0.0972945  | rmse_vx -> 0.411516   | rmse_vy -> 0.495055  
